,Number of Splits,Trial,Distance,Average
2,6,5,0.9618716638140755,Euclidean-mean
3,6,5,1.732036859773186,Random
0,6,6,0.2890366949009083,FL-mean
1,6,6,0.2064394041537701,GR-mean
2,6,6,1.583445894450208,Euclidean-mean
3,6,6,1.7320184421231037,Random
0,6,7,0.45683198451808166,FL-mean
1,6,7,0.775443831532442,GR-mean
2,6,7,1.3615961533653933,Euclidean-mean
3,6,7,1.7319971611194305,Random
0,6,8,0.20797728857002343,FL-mean
1,6,8,0.25689589765126397,GR-mean
2,6,8,1.0496740573304615,Euclidean-mean
3,6,8,1.7319359619740953,Random
0,6,9,0.36631455577441,FL-mean
1,6,9,0.4852358447641944,GR-mean
2,6,9,1.170068880303724,Euclidean-mean
3,6,9,1.7317135338806162,Random
0,6,10,0.2852856133143913,FL-mean
1,6,10,0.594566494333813,GR-mean
2,6,10,1.647372229796367,Euclidean-mean
3,6,10,1.7320325682985758,Random
0,6,11,0.3448090770065961,FL-mean
1,6,11,0.27094115137053315,GR-mean
2,6,11,1.227275047758197,Euclidean-mean
3,6,11,1.7319581870791698,Random
0,6,12,0.22010760948036628,FL-mean
1,6,12,0.28069194817809784,GR-mean
2,6,12,0.9842461100389779,Euclidean-mean
3,6,12,1.732027109835643,Random
0,6,13,0.3502650039429966,FL-mean
1,6,13,0.38464146719964787,GR-mean
2,6,13,1.4109684940106548,Euclidean-mean
3,6,13,1.7316480438443824,Random
0,6,14,0.2742182486830315,FL-mean
1,6,14,0.5412876694796874,GR-mean
2,6,14,1.3238930738715151,Euclidean-mean
3,6,14,1.7319698800950305,Random
0,6,15,0.4152763084008555,FL-mean
1,6,15,0.4200044932283374,GR-mean
2,6,15,1.0194137536188548,Euclidean-mean
3,6,15,1.7319682250923494,Random
0,6,16,0.2553222028513028,FL-mean
1,6,16,0.4646318398647153,GR-mean
2,6,16,1.512122640277717,Euclidean-mean
3,6,16,1.7317493711448357,Random
0,6,17,0.325758947361199,FL-mean
1,6,17,0.5068959247295437,GR-mean
2,6,17,1.4012655861577874,Euclidean-mean
3,6,17,1.7319743434990014,Random
0,6,18,0.3173786316094822,FL-mean
1,6,18,0.33746520471212565,GR-mean
2,6,18,1.4373523042820016,Euclidean-mean
3,6,18,1.73183982733567,Random
0,6,19,0.5027896713298604,FL-mean
1,6,19,0.40851167414453377,GR-mean
2,6,19,1.4564464531294727,Euclidean-mean
3,6,19,1.7320478376038417,Random
